valsi	rafsi_1	rafsi_2	rafsi_3
bacru	ba'u		
badri	dri		
bajra	baj		
bakfu	baf		
bakni	bak		
balre	ba'e		
balvi	bav		
bancu	bac		
bandu	bad		
bangu	bau	ban	
banli	bal	ba'i	
banro	ba'o		
banxa	bax		
banzu	baz		
bapli	bap	bai	
barda	bra		
bargu	bag		
barna	ba'a		
bartu	bar		
basti	bas		
batci	bat		
bebna	beb		
bemro	be'o	bem	
bende	be'e	bed	
bengo	beg		
benji	bej	be'i	
bersa	bes	be'a	
berti	ber		
besna	ben		
betfu	be'u	bef	
betri	bet		
bevri	bei	bev	
bi	biv		
bi'i	biz		
bifce	bic		
bikla	bik		
bilga	big		
bilma	bi'a		
bilni	bil		
bindo	bid		
binxo	bix	bi'o	
birka	bir		
birti	bit		
bisli	bis		
bitmu	bi'u	bim	
blabi	lab		
blanu	bla		
bliku	bli		
bloti	blo	lot	lo'i
bo	bor		
bolci	bol	boi	
bongu	bog	bo'u	
botpi	bo'i	bot	
boxfo	bof	bo'o	
boxna	bo'a	bon	
brazo	raz		
bredi	red	bre	
bridi	bri		
brife	bi'e	bif	
briju	bij		
brito	rit		
broda	rod		
brode	bo'e		
bruna	bu'a	bun	
bu	bu'i	bus	
bu'a	bul		
budjo	buj	bu'o	
bukpu	bu'u	buk	
bumru	bum		
bunda	bud		
bunre	bu'e	bur	
burcu	bru		
ca'a	caz		
cabna	cab		
cabra	ca'a		
cadzu	dzu		
cafne	caf		
calku	cak		
cando	cad		
cange	cag		
canja	caj		
canko	ca'o		
canlu	ca'u	cal	
canpa	cna		
canre	can		
carmi	cam	cai	
carna	car		
cartu	cat		
carvi	cav		
casnu	snu		
catke	ca'e		
catlu	cta		
catni	ca'i		
caxno	cax		
ce	cec		
ce'i	cez		
ce'o	ce'o		
cecla	ce'a	cel	
cecmu	ce'u	cem	
cenba	cne		
censa	ces		
centi	cen		
cerda	ced		
cerni	cer		
certu	cre		
cevni	cei	cev	
cfari	cfa		
cfika	fi'a	fik	
cfila	cfi		
cfipu	fi'u		
ci	cib		
ciblu	blu		
cidja	dja		
cidni	cid		
cidro	dro		
cifnu	cif		
cigla	cig		
cikna	cik		
ciksi	cki		
cilce	cic		
cilmo	cim		
cilre	cli		
cilta	cil		
cinje	cij		
cinmo	cni		
cinri	ci'i		
cinse	cin		
cipni	cpi		
cipra	cip		
cirko	cri		
ciska	ci'a		
ciste	ci'e		
citka	cti		
citno	cit	ci'o	
citri	cir		
civla	civ		
cizra	ciz		
ckafi	kaf		
ckaji	kai		
ckana	cka		
ckape	cap		
ckasu	cas		
ckeji	kej	cke	
ckiku	kik		
ckilu	ci'u		
ckini	ki'i		
ckire	kir		
ckule	cu'e	kul	
ckunu	ku'u		
cladu	lau		
clani	cla		
claxu	cau		
clira	lir		
clite	lit		
cliva	liv	li'a	
clupa	cup		
cmalu	cma		
cmana	ma'a		
cmavo	ma'o		
cmene	me'e	cme	
cmila	mi'a		
cmima	cmi	mim	
cmoni	cmo	co'i	
cnano	na'o		
